Link,Job Title,Company,Salary,Location,Experience,Skills,Day Posted
https://www.naukri.com/job-listings-cyber-security-engineer-adler-talent-solutions-coimbatore-bengaluru-3-to-7-years-170225012736,Cyber Security Engineer,Adler Talent Solution,Not disclosed,"Coimbatore, Bengaluru",3-7 Yrs,"Cyber Security, Cyber Threat, Threat Analysis, Analysis, Security, Cyber",2022-02
https://www.naukri.com/job-listings-project-manager-with-cyber-security-background-e-solutions-it-services-pvt-ltd-bengaluru-8-to-13-years-110225920653,Project Manager with Cyber Security background,Leading Client,Not disclosed,Bengaluru,8-13 Yrs,"cyber security, soc, information security, vulnerability management, siem, risk management, it security, network security",2022-02
https://www.naukri.com/job-listings-cyber-security-professional-infosys-technologies-ltd-bengaluru-4-to-12-years-040225508887,Cyber Security Professional,Infosys,Not disclosed,Bengaluru,4-12 Yrs,"PCI DSS, cloud security, ISO, cyber security, Architecture, Strategic planning, Application security, Competency management",2022-02
https://www.naukri.com/job-listings-senior-analyst-information-cyber-security-information-iris-solutions-noida-3-to-7-years-060225505181,Senior Analyst - Information & Cyber Security Information,Iris Solutions,Not disclosed,Noida,3-7 Yrs,"Health insurance, Change management, cyber security, Compliance, Senior Analyst, Finance, Focus, Forensic",2022-02
https://www.naukri.com/job-listings-cyber-security-analyst-webkit24-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-8-years-100225504163,Cyber Security Analyst,Webkit24,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-8 Yrs,"malware analysis, cyber security, network security, application security, ceh, cissp, Security analysis, Analysis",2022-02
https://www.naukri.com/job-listings-senior-analyst-information-cyber-security-iris-solutions-noida-4-to-7-years-070225500907,Senior Analyst - Information & Cyber Security,Iris Solutions,Not disclosed,Noida,4-7 Yrs,"Health insurance, Analyst, cyber security, Finance, Health, Analysis, Security, Insurance",2022-02
https://www.naukri.com/job-listings-cyber-security-engineer-ruckus-networks-hyderabad-3-to-7-years-170225502382,Cyber Security Engineer,Ruckus Networks,Not disclosed,Hyderabad,3-7 Yrs,"remediation, Change management, Service level, cyber security, Analytical, SOC, Vulnerability, Customer service",2022-02
https://www.naukri.com/job-listings-cyber-security-architect-locuz-hyderabad-bengaluru-3-to-8-years-170225017120,Cyber Security Architect,Locuz,Not disclosed,"Hyderabad, Bengaluru",3-8 Yrs,"Cyber Security, Presales Consulting, SOW, Cloud Security, POC, Dlp, Presales, Endpoint Security",2022-02
https://www.naukri.com/job-listings-cyber-security-analyst-network-security-petroexcel-technology-services-nigeria-8-to-12-years-091224009530,Cyber Security Analyst - Network Security,Petroexcel Technology Services,Not disclosed,Nigeria,8-12 Yrs,"Traffic Management, Network Monitoring, Perimeter Security, Access Control, Firewall Management, NAT, IPSEC, Threat Prevention",2022-02
https://www.naukri.com/job-listings-cyber-security-engineer-lead-automotive-5-yrs-tata-elxsi-chennai-bengaluru-thiruvananthapuram-5-to-10-years-110824001180,"Cyber Security Engineer/Lead-Automotive(5+ Yrs)
",Tata Elxsi,Not disclosed,"Hybrid - Chennai, Bengaluru, Thiruvananthapuram",5-10 Yrs,"Cyber Security, Bms, Automotive, Compliance, Battery, Battery test, Software testing, Security",2022-02
https://www.naukri.com/job-listings-manager-cyber-formation-security-manager-strategy-governance-pricewaterhouse-coopers-private-limited-bengaluru-8-to-11-years-170225502704,Manager- Cyber & formation Security Manager-Strategy & Governance -,PwC Service Delivery Center,Not disclosed,Bengaluru,8-11 Yrs,"Cism, Cisa, Information security, Network security, IT risk management, Incident management, data privacy, Vulnerability management",2022-02
https://www.naukri.com/job-listings-tech-lead-cyber-security-fiserv-india-pvt-ltd-pune-5-to-8-years-130225506844,"Tech Lead, Cyber Security",Fiserv,Not disclosed,Pune,5-8 Yrs,"Computer science, Automation, Change management, Information security, Social media, DNS, Perl, Risk management",2022-02
https://www.naukri.com/job-listings-it-security-manager-cyber-security-manager-growth-grids-private-limited-jaipur-5-to-10-years-140225013583,IT Security Manager / Cyber Security Manager,Growth Grids Private Limited,Not disclosed,Jaipur,5-10 Yrs,"Cloud Security, Cyber Security, IT Security, Cism, Aws Security, Ccsp, SAAS, Network Security",2022-02
https://www.naukri.com/job-listings-cyber-security-engineer-vapt-common-service-centres-csc-new-delhi-2-to-4-years-170225005918,Cyber Security Engineer (VAPT),Common Service Centres (CSC),5-5.5 Lacs PA,New Delhi(Okhla Phase 3),2-4 Yrs,"Vapt, Burp Suite, Cyber Security, Oscp, Metasploit, Penetration Testing, Ceh, OWASP",2022-02
https://www.naukri.com/job-listings-cyber-security-specialist-carbon-black-chennai-location-creative-hands-hr-hyderabad-chennai-bengaluru-2-to-6-years-170225002220,"Cyber Security Specialist, Carbon Black, Chennai location",Top B2B MNC in BPO Domain,5-8 Lacs PA,"Hyderabad, Chennai, Bengaluru",2-6 Yrs,"Carbon Black, VMware, Cyber Security, Infrastructure management, Information security, SOC, Risk assessment, Security operations",2022-02
https://www.naukri.com/job-listings-global-cyber-security-analyst-lucy-electric-vadodara-1-to-4-years-130225504942,GLOBAL CYBER SECURITY ANALYST,Lucy Electric,Not disclosed,Vadodara,1-4 Yrs,"Project management, Active directory, Network security, Agile, Customer relationship, Antivirus, Windows, microsoft",2022-02
https://www.naukri.com/job-listings-global-cyber-security-analyst-lucy-electricle-vadodara-1-to-3-years-120225500536,Global Cyber Security Analyst,Lucy Electricle,Not disclosed,Vadodara,1-3 Yrs,"Project management, Active directory, Network security, Agile, Customer relationship, Antivirus, Windows, microsoft",2022-02
https://www.naukri.com/job-listings-cyber-security-consultant-uniinfo-telecom-services-hyderabad-bengaluru-8-to-12-years-120225011780,Cyber Security Consultant,Uniinfo Telecom Services,5-15 Lacs PA,"Hyderabad, Bengaluru",8-12 Yrs,"Cloud Security, Cyber Security, SQL, Java Script Ajax, third party tool, spirion, Risk Management, languages scripting",2022-02
https://www.naukri.com/job-listings-cyber-security-analyst-azure-cloud-ust-bengaluru-3-to-5-years-050225500603,Cyber Security Analyst - Azure Cloud,UST,Not disclosed,Bengaluru,3-5 Yrs,"cyber security analyst, Networking, Architecture, SOC, Intrusion detection, Cloud, SIEM, microsoft azure",2022-02
https://www.naukri.com/job-listings-senior-service-engineer-it-infra-and-cyber-security-ge-india-industrial-private-limited-noida-6-to-8-years-130225910551,Senior Service Engineer - IT Infra and Cyber Security,GE,Not disclosed,Noida,6-8 Yrs,"Service Engineering, Cyber Security, Storage, Linux, incident management, Net, Backup, vulnerability management, VLAN",2022-02
https://www.naukri.com/job-listings-cyber-security-engineer-adler-talent-solutions-coimbatore-bengaluru-3-to-7-years-170225012736,Cyber Security Engineer,Adler Talent Solution,Not disclosed,"Coimbatore, Bengaluru",3-7 Yrs,"Cyber Security, Cyber Threat, Threat Analysis, Analysis, Security, Cyber",2022-02
https://www.naukri.com/job-listings-project-manager-with-cyber-security-background-e-solutions-it-services-pvt-ltd-bengaluru-8-to-13-years-110225920653,Project Manager with Cyber Security background,Leading Client,Not disclosed,Bengaluru,8-13 Yrs,"cyber security, soc, information security, vulnerability management, siem, risk management, it security, network security",2022-02
https://www.naukri.com/job-listings-cyber-security-professional-infosys-technologies-ltd-bengaluru-4-to-12-years-040225508887,Cyber Security Professional,Infosys,Not disclosed,Bengaluru,4-12 Yrs,"PCI DSS, cloud security, ISO, cyber security, Architecture, Strategic planning, Application security, Competency management",2022-02
https://www.naukri.com/job-listings-senior-analyst-information-cyber-security-information-iris-solutions-noida-3-to-7-years-060225505181,Senior Analyst - Information & Cyber Security Information,Iris Solutions,Not disclosed,Noida,3-7 Yrs,"Health insurance, Change management, cyber security, Compliance, Senior Analyst, Finance, Focus, Forensic",2022-02
https://www.naukri.com/job-listings-cyber-security-analyst-webkit24-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-8-years-100225504163,Cyber Security Analyst,Webkit24,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-8 Yrs,"malware analysis, cyber security, network security, application security, ceh, cissp, Security analysis, Analysis",2022-02
https://www.naukri.com/job-listings-senior-analyst-information-cyber-security-iris-solutions-noida-4-to-7-years-070225500907,Senior Analyst - Information & Cyber Security,Iris Solutions,Not disclosed,Noida,4-7 Yrs,"Health insurance, Analyst, cyber security, Finance, Health, Analysis, Security, Insurance",2022-02
https://www.naukri.com/job-listings-cyber-security-engineer-ruckus-networks-hyderabad-3-to-7-years-170225502382,Cyber Security Engineer,Ruckus Networks,Not disclosed,Hyderabad,3-7 Yrs,"remediation, Change management, Service level, cyber security, Analytical, SOC, Vulnerability, Customer service",2022-02
https://www.naukri.com/job-listings-cyber-security-architect-locuz-hyderabad-bengaluru-3-to-8-years-170225017120,Cyber Security Architect,Locuz,Not disclosed,"Hyderabad, Bengaluru",3-8 Yrs,"Cyber Security, Presales Consulting, SOW, Cloud Security, POC, Dlp, Presales, Endpoint Security",2022-02
https://www.naukri.com/job-listings-cyber-security-analyst-network-security-petroexcel-technology-services-nigeria-8-to-12-years-091224009530,Cyber Security Analyst - Network Security,Petroexcel Technology Services,Not disclosed,Nigeria,8-12 Yrs,"Traffic Management, Network Monitoring, Perimeter Security, Access Control, Firewall Management, NAT, IPSEC, Threat Prevention",2022-02
https://www.naukri.com/job-listings-cyber-security-engineer-lead-automotive-5-yrs-tata-elxsi-chennai-bengaluru-thiruvananthapuram-5-to-10-years-110824001180,"Cyber Security Engineer/Lead-Automotive(5+ Yrs)
",Tata Elxsi,Not disclosed,"Hybrid - Chennai, Bengaluru, Thiruvananthapuram",5-10 Yrs,"Cyber Security, Bms, Automotive, Compliance, Battery, Battery test, Software testing, Security",2022-02
https://www.naukri.com/job-listings-manager-cyber-formation-security-manager-strategy-governance-pricewaterhouse-coopers-private-limited-bengaluru-8-to-11-years-170225502704,Manager- Cyber & formation Security Manager-Strategy & Governance -,PwC Service Delivery Center,Not disclosed,Bengaluru,8-11 Yrs,"Cism, Cisa, Information security, Network security, IT risk management, Incident management, data privacy, Vulnerability management",2022-02
https://www.naukri.com/job-listings-tech-lead-cyber-security-fiserv-india-pvt-ltd-pune-5-to-8-years-130225506844,"Tech Lead, Cyber Security",Fiserv,Not disclosed,Pune,5-8 Yrs,"Computer science, Automation, Change management, Information security, Social media, DNS, Perl, Risk management",2022-02
https://www.naukri.com/job-listings-it-security-manager-cyber-security-manager-growth-grids-private-limited-jaipur-5-to-10-years-140225013583,IT Security Manager / Cyber Security Manager,Growth Grids Private Limited,Not disclosed,Jaipur,5-10 Yrs,"Cloud Security, Cyber Security, IT Security, Cism, Aws Security, Ccsp, SAAS, Network Security",2022-02
https://www.naukri.com/job-listings-cyber-security-engineer-vapt-common-service-centres-csc-new-delhi-2-to-4-years-170225005918,Cyber Security Engineer (VAPT),Common Service Centres (CSC),5-5.5 Lacs PA,New Delhi(Okhla Phase 3),2-4 Yrs,"Vapt, Burp Suite, Cyber Security, Oscp, Metasploit, Penetration Testing, Ceh, OWASP",2022-02
https://www.naukri.com/job-listings-cyber-security-specialist-carbon-black-chennai-location-creative-hands-hr-hyderabad-chennai-bengaluru-2-to-6-years-170225002220,"Cyber Security Specialist, Carbon Black, Chennai location",Top B2B MNC in BPO Domain,5-8 Lacs PA,"Hyderabad, Chennai, Bengaluru",2-6 Yrs,"Carbon Black, VMware, Cyber Security, Infrastructure management, Information security, SOC, Risk assessment, Security operations",2022-02
https://www.naukri.com/job-listings-global-cyber-security-analyst-lucy-electric-vadodara-1-to-4-years-130225504942,GLOBAL CYBER SECURITY ANALYST,Lucy Electric,Not disclosed,Vadodara,1-4 Yrs,"Project management, Active directory, Network security, Agile, Customer relationship, Antivirus, Windows, microsoft",2022-02
https://www.naukri.com/job-listings-global-cyber-security-analyst-lucy-electricle-vadodara-1-to-3-years-120225500536,Global Cyber Security Analyst,Lucy Electricle,Not disclosed,Vadodara,1-3 Yrs,"Project management, Active directory, Network security, Agile, Customer relationship, Antivirus, Windows, microsoft",2022-02
https://www.naukri.com/job-listings-cyber-security-consultant-uniinfo-telecom-services-hyderabad-bengaluru-8-to-12-years-120225011780,Cyber Security Consultant,Uniinfo Telecom Services,5-15 Lacs PA,"Hyderabad, Bengaluru",8-12 Yrs,"Cloud Security, Cyber Security, SQL, Java Script Ajax, third party tool, spirion, Risk Management, languages scripting",2022-02
https://www.naukri.com/job-listings-cyber-security-analyst-azure-cloud-ust-bengaluru-3-to-5-years-050225500603,Cyber Security Analyst - Azure Cloud,UST,Not disclosed,Bengaluru,3-5 Yrs,"cyber security analyst, Networking, Architecture, SOC, Intrusion detection, Cloud, SIEM, microsoft azure",2022-02
https://www.naukri.com/job-listings-senior-service-engineer-it-infra-and-cyber-security-ge-india-industrial-private-limited-noida-6-to-8-years-130225910551,Senior Service Engineer - IT Infra and Cyber Security,GE,Not disclosed,Noida,6-8 Yrs,"Service Engineering, Cyber Security, Storage, Linux, incident management, Net, Backup, vulnerability management, VLAN",2022-02
https://www.naukri.com/job-listings-cyber-security-engineer-adler-talent-solutions-coimbatore-bengaluru-3-to-7-years-170225012736,Cyber Security Engineer,Adler Talent Solution,Not disclosed,"Coimbatore, Bengaluru",3-7 Yrs,"Cyber Security, Cyber Threat, Threat Analysis, Analysis, Security, Cyber",2022-02
https://www.naukri.com/job-listings-project-manager-with-cyber-security-background-e-solutions-it-services-pvt-ltd-bengaluru-8-to-13-years-110225920653,Project Manager with Cyber Security background,Leading Client,Not disclosed,Bengaluru,8-13 Yrs,"cyber security, soc, information security, vulnerability management, siem, risk management, it security, network security",2022-02
https://www.naukri.com/job-listings-cyber-security-professional-infosys-technologies-ltd-bengaluru-4-to-12-years-040225508887,Cyber Security Professional,Infosys,Not disclosed,Bengaluru,4-12 Yrs,"PCI DSS, cloud security, ISO, cyber security, Architecture, Strategic planning, Application security, Competency management",2022-02
https://www.naukri.com/job-listings-senior-analyst-information-cyber-security-information-iris-solutions-noida-3-to-7-years-060225505181,Senior Analyst - Information & Cyber Security Information,Iris Solutions,Not disclosed,Noida,3-7 Yrs,"Health insurance, Change management, cyber security, Compliance, Senior Analyst, Finance, Focus, Forensic",2022-02
